"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/07 10:21:03 PM GMT+5:30","University of Moratuwa","Bsc(Hons) in Information Technology","Yes","abroad","10 km to 30 km","Geater than Rs. 150 000","Private","Management","Business Analyst","head"
"2018/08/07 11:15:16 PM GMT+5:30","Sliate","BBA","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Private","Management","Business Analyst","group leader"
"2018/08/07 11:58:36 PM GMT+5:30","SLIIT","Yes","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/08 6:11:00 AM GMT+5:30","IIT","Software Engineering ","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/08 7:05:29 AM GMT+5:30","SLIIT","Data science","Maybe","Home country","Less than 5 km","","Private","IT","Data Scientist","head"
"2018/08/08 7:59:42 AM GMT+5:30","university of jaffna ","Physical science ","Yes","abroad","Geater than 30 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Stastical ","group leader"
"2018/08/08 8:01:14 AM GMT+5:30","University of jaffna ","Physical science ","Yes","abroad","Geater than 30 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Stastical ","group leader"
"2018/08/08 8:08:09 AM GMT+5:30","university of jaffna","Bacheoulor of science in computer science","Yes","Home country","Geater than 30 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","head"
"2018/08/08 10:52:24 AM GMT+5:30","HRMI","HND IN HR","Yes","abroad","10 km to 30 km","Rs.50 000 to 100 000","Private","Management","Sales","group leader"
"2018/08/08 10:57:04 AM GMT+5:30","Mercury institute ","ACCA","Maybe","Home country","Less than 5 km","Rs.25 000 to 50 000","Private","Banking and Accounting","Accountant","assistant head"
"2018/08/08 11:40:47 AM GMT+5:30","SLIIT","Bsc.IT","Yes","abroad","Geater than 30 km","Geater than Rs. 150 000","Private","IT","Software Engineer","group leader"
"2018/08/08 11:51:59 AM GMT+5:30","SLIIT","Data Science","Yes","abroad","10 km to 30 km","Geater than Rs. 150 000","Private","IT","Researcher",""
"2018/08/08 12:22:55 PM GMT+5:30","SLIIT","Data Science","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","head"
"2018/08/08 12:38:27 PM GMT+5:30","SLIIT","IT (CSNE)","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Network Engineer","other"
"2018/08/08 2:26:52 PM GMT+5:30","SLIIT","Information Technology","Yes","Home country","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/08 2:38:00 PM GMT+5:30","University  of jaffna","Physical science","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","Education","Lecturer","head"
"2018/08/08 3:37:17 PM GMT+5:30","Jaffna","computer science ","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/08 4:47:39 PM GMT+5:30","SLIIT","IT","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Goverment","Banking and Accounting","Business Analyst","head"
"2018/08/08 5:07:50 PM GMT+5:30","SLIIT","Software engineerng","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","head"
