"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/29 5:58:49 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 5:59:30 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","No","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","other"
"2018/08/29 6:00:00 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","Education","Lecturer","assistant head"
"2018/08/29 6:00:41 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Goverment","IT","","other"
"2018/08/29 6:01:04 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 6:01:38 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 6:02:05 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","Education","Lecturer","other"
"2018/08/29 6:02:53 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 6:03:16 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Education","Lecturer","other"
"2018/08/29 6:03:54 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc. in Physics and ICT","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:05:53 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","Engineering","Lecturer","other"
"2018/08/29 6:06:28 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:07:17 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","Engineering","","other"
"2018/08/29 6:08:22 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Maybe","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Engineering","","other"
"2018/08/29 6:08:55 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Maybe","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:09:29 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","Engineering","","head"
"2018/08/29 6:10:20 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Private","Engineering","","other"
"2018/08/29 6:10:54 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:11:19 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:11:53 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Mathematics","No","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","Engineering","","other"
"2018/08/29 6:12:35 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 6:13:02 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","No","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:13:40 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:14:09 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","head"
"2018/08/29 6:14:37 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","Education","Lecturer","other"
"2018/08/29 6:15:47 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","other"
"2018/08/29 6:16:17 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:16:43 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 6:17:05 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:17:30 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:17:49 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 6:18:11 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","No","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:18:37 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","Education","Lecturer","other"
"2018/08/29 6:19:00 AM GMT+5:30","University of Sri Jayewardenepura","B. Sc.(Special) in Computer Science","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:21:29 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","head"
"2018/08/29 6:21:47 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:22:11 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:22:32 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","head"
"2018/08/29 6:22:53 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:23:19 AM GMT+5:30","University of Sri Jayewardenepura","BSc Honours Degree in Computer Science","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:24:04 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:24:27 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","No","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","head"
"2018/08/29 6:24:51 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","Education","Lecturer","other"
"2018/08/29 6:25:12 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:25:33 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:26:02 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Maybe","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/29 6:27:21 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 6:27:42 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:28:02 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Computer Science","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:29:11 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:29:28 AM GMT+5:30","SLTTC","Electrical & Electronic Engineering","Maybe","Home country","Geater than 30 km","Rs.50 000 to 100 000","Private","Engineering","RF Engineer","other"
"2018/08/29 6:29:32 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 6:29:57 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 6:30:16 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:30:36 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","Geater than 30 km","Rs.100 000 to 150 000","Goverment","IT","Data Scientist","assistant head"
"2018/08/29 6:30:56 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:31:22 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","head"
"2018/08/29 6:31:42 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","head"
"2018/08/29 6:32:10 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","IT","Data Scientist","group leader"
"2018/08/29 6:32:35 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:32:57 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:33:21 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 6:33:46 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","head"
"2018/08/29 6:34:14 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Education","Data Scientist","other"
"2018/08/29 6:34:35 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:35:00 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:35:23 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 6:35:48 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","Yes","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","Education","Lecturer","other"
"2018/08/29 6:36:11 AM GMT+5:30","University of Peradeniya","BSc Honours Degree in Statistics","No","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","group leader"
"2018/08/29 9:06:29 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 9:07:09 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","assistant head"
"2018/08/29 9:07:50 AM GMT+5:30","University of Colombo","computer science","Maybe","Home country","10 km to 30 km","Rs.100 000 to 150 000","Goverment","Banking and Accounting","Data Scientist","other"
"2018/08/29 9:08:22 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Data Scientist","assistant head"
"2018/08/29 9:09:00 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","group leader"
"2018/08/29 9:09:31 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","head"
"2018/08/29 9:11:04 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","assistant head"
"2018/08/29 9:43:33 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 9:44:14 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/29 9:45:00 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","Geater than 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 9:45:33 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Banking and Accounting","Data Scientist",""
"2018/08/29 9:52:15 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 9:55:49 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","assistant head"
"2018/08/29 9:56:18 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","group leader"
"2018/08/29 9:56:46 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 9:57:21 AM GMT+5:30","University of Colombo","computer science","","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 9:57:49 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 9:58:30 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 9:59:14 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:00:22 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:00:55 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:01:23 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","head"
"2018/08/29 10:04:37 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:05:11 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Goverment","Banking and Accounting","Data Scientist","other"
"2018/08/29 10:05:39 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","head"
"2018/08/29 10:06:52 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:07:49 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:08:40 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:09:10 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:09:38 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:10:08 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","Banking and Accounting","Business Analyst","other"
"2018/08/29 10:10:44 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:11:32 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:11:57 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 10:12:32 AM GMT+5:30","University of Colombo","computer science","Yes","","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:13:08 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:13:37 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:14:07 AM GMT+5:30","University of Colombo","computer science ","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Software Engineer","other"
"2018/08/29 10:14:39 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:15:08 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 10:15:40 AM GMT+5:30","University of Colombo","computer science","Maybe","Home country","5 km to 10 km","Geater than Rs. 150 000","Goverment","IT","Lecturer","other"
"2018/08/29 10:16:23 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Goverment","Education","Lecturer","head"
"2018/08/29 10:33:54 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:34:19 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:34:47 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","Geater than 30 km","Geater than Rs. 150 000","Private","Banking and Accounting","Data Scientist","other"
"2018/08/29 10:35:09 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 10:35:32 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","10 km to 30 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/29 10:35:56 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:36:25 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:36:48 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 10:37:11 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:37:34 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 10:38:02 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Lecturer","head"
"2018/08/29 10:38:36 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:38:59 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:39:26 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Goverment","IT","Data Scientist","other"
"2018/08/29 10:39:49 AM GMT+5:30","University of Colombo","computer science","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Banking and Accounting","Data Scientist","other"
"2018/08/29 10:40:14 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","Engineering","Software Engineer","other"
"2018/08/29 10:44:01 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Banking and Accounting","Software Engineer","other"
"2018/08/29 10:44:31 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Teacher","other"
"2018/08/29 10:45:02 AM GMT+5:30","University of Colombo","computer science","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Business Analyst","other"
"2018/08/29 10:45:44 AM GMT+5:30","SLIIT","IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 10:46:27 AM GMT+5:30","SLIIT","IT","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Banking and Accounting","Software Engineer","other"
"2018/08/29 10:47:11 AM GMT+5:30","SLIIT","IT","Yes","","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 10:48:10 AM GMT+5:30","SLIIT","IT","Yes","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Education","Lecturer","head"
"2018/08/29 10:48:45 AM GMT+5:30","SLIIT","IT","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","Banking and Accounting","Data Scientist","other"
"2018/08/29 10:49:14 AM GMT+5:30","SLIIT","IT","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 10:49:43 AM GMT+5:30","SLIIT","IT","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","Banking and Accounting","Data Scientist","other"
"2018/08/29 10:52:30 AM GMT+5:30","SLIIT","IT","Yes","Home country","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 11:11:15 AM GMT+5:30","SLIIT","IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 11:47:26 AM GMT+5:30","SLIIT","IT","Yes","","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 11:47:53 AM GMT+5:30","SLIIT","IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/29 11:50:55 AM GMT+5:30","NSBM","IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/29 11:51:22 AM GMT+5:30","NSBM","IT","Yes","abroad","Geater than 30 km","Rs.100 000 to 150 000","Private","IT","Data Scientist","other"
"2018/08/29 11:51:50 AM GMT+5:30","NSBM","IT","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","Education","Lecturer","other"
"2018/08/29 11:52:18 AM GMT+5:30","NSBM","IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Banking and Accounting","Business Analyst","other"
"2018/08/29 11:52:51 AM GMT+5:30","NSBM","IT","Maybe","Home country","Geater than 30 km","Geater than Rs. 150 000","Goverment","Banking and Accounting","Business Analyst","other"
"2018/08/29 11:53:15 AM GMT+5:30","NSBM","IT","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Business Analyst","other"
"2018/08/29 11:57:08 AM GMT+5:30","University of Moratuwa","ENgineering","Yes","Home country","10 km to 30 km","Geater than Rs. 150 000","Private","Engineering","ENgineer","assistant head"
"2018/08/29 11:57:42 AM GMT+5:30","University of Moratuwa","ENgineering","Yes","Home country","Geater than 30 km","Geater than Rs. 150 000","Goverment","Engineering","Data Scientist","other"
"2018/08/29 11:25:52 PM GMT+5:30","SLIIT","Bsc in IT","Yes","abroad","Geater than 30 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/29 11:26:10 PM GMT+5:30","SLIIT","IT","Maybe","abroad","Geater than 30 km","Rs.100 000 to 150 000","Private","IT","UI/UX Engineer","other"
"2018/08/29 11:27:06 PM GMT+5:30","SLIIT","BSc. IT","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/29 11:28:10 PM GMT+5:30","SLIIT","Bsc in IT","Yes","abroad","5 km to 10 km","Rs.25 000 to 50 000","Private","IT","Software Engineer","other"
"2018/08/29 11:35:00 PM GMT+5:30","SLIIT","Bsc. Hons in Software Engineering","Yes","abroad","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","head"
